quantity,bin,binBarcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity
2,Grooming,1778252024408,Eliot's Trailer,1,Cowboy Magic GreenSpot Remover,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",320444,Size: Gallon,,,,,Corro Trailer 1,24470,24755,25040,39990,0,0,
6,Grooming,1778252024408,Eliot's Trailer,1,Cowboy Magic Detangler & Shine,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",11815-3,Size: 32 Ounces,,,,,Corro Trailer 1,38300,39947,43240,49990,0,0,
2,Grooming,1778252024408,Eliot's Trailer,1,Cowboy Magic GreenSpot Remover,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",013-4000,Size: 32 Ounces,,,,,Corro Trailer 1,7410,7410,7410,14990,0,0,0.0342251
5,Treats / Toys,1778252144214,Eliot's Trailer,1,Cavalor Crunchies Healthy Horse Snacks,Horse Care > Treats & Toys > Treats,82696309,Size: 1.5 Kilograms,,,Lot# LL099,2026-09-10,Corro Trailer 1,13450,13450,13450,19990,0,0,0.13418974
6,Supplements,1778252144213,Eliot's Trailer,1,Cavalor An Energy Boost,Horse Care > Supplements > Performance & Energy,82193806,"Size: 60 cc, 6-pack",,,Lot# 25070021,2027-09-30,Corro Trailer 1,57190,57190,57190,83990,0,0,0.1533254
2,Supplements,1778252144213,Eliot's Trailer,1,Kentucky Performance Elevate Maintenance Powder,Horse Care > Supplements > Vitamins & Minerals,990011,Size: 10 Pounds Powder,,,Lot# 550,2027-10-01,Corro Trailer 1,196500,197230,198690,249950,0,0,0.030988999
3,Supplements,1778252144213,Eliot's Trailer,1,Kentucky Performance Elevate Maintenance Powder,Horse Care > Supplements > Vitamins & Minerals,14526-1,Size: 2 Pounds Powder,,,Lot# 550,2027-10-01,Corro Trailer 1,39940,39943,39950,54990,0,0,0.036702905
1,Supplements,1778252144213,Eliot's Trailer,1,Kentucky Performance Elevate Maintenance Powder,Horse Care > Supplements > Vitamins & Minerals,14526-1,Size: 2 Pounds Powder,,,Lot# 3306115,2027-06-01,Corro Trailer 1,39940,39943,39950,54990,0,0,0.036702905
4,First Aid,1778252086689,Eliot's Trailer,1,Cavalor FreeBute Pain Relief Gel,Horse Care > First Aid & Wellness > Liniments,82194852,Size: 200 Milliliters,,,,,Corro Trailer 1,26590,26590,26590,38990,0,0,
4,Hoof Care,1778252024407,Eliot's Trailer,1,Keratex Hoof Hardener,Horse Care > Grooming & Bathing > Hoof Oils & Conditioner,13477-1,Size: 250 Millileters,,,,,Corro Trailer 1,29140,29140,29140,39990,0,0,0.075048946
1,First Aid,1778252086689,Eliot's Trailer,1,Effol Hoof Oil,Horse Care > Grooming & Bathing > Hoof Oils & Conditioner,111475,Size: 475 Milliliters,,,,,Corro Trailer 1,14200,14200,14200,24990,0,0,0.061886486
11,Hoof Care,1778252024407,Eliot's Trailer,1,Absorbine Hooflex Thrush Remedy,Horse Care > First Aid & Wellness > Hoof Care > Thrush,428455,Size: 12 Ounces,,,,,Corro Trailer 1,11700,11700,11700,16990,0,0,0.12841044
1,First Aid,1778252086689,Eliot's Trailer,1,Absorbine Hooflex All Natural Dressing And Conditioner,Horse Care > Grooming & Bathing > Hoof Oils & Conditioner,14496-1,Size: 15 Ounces,,,,,Corro Trailer 1,13970,13970,13970,20890,0,0,0.040885072
2,First Aid,1778252086689,Eliot's Trailer,1,Effol Hoof Ointment,Horse Care > Grooming & Bathing > Hoof Oils & Conditioner,110112,Size: 1 Liter,Color: Green,,,,Corro Trailer 1,14500,14500,14500,21990,0,0,
2,First Aid,1778252086689,Eliot's Trailer,1,Absorbine Hooflex Therapeutic Conditioner Liquid,Horse Care > Grooming & Bathing > Hoof Oils & Conditioner,11713-1,Size: 15 Ounces,,,,,Corro Trailer 1,12720,12720,12720,19790,0,0,
0,Hoof Care,1778252024407,Eliot's Trailer,1,Cavalor Ice Clay,Horse Care > First Aid & Wellness > Poultices & Hoof Packing,82191704,Size: 4 kg,,,,,Corro Trailer 1,44190,44190,44190,64990,0,0,0.030467667
6,Fly Gear,1778252234584,Eliot's Trailer,1,Pyranha Insecticide,Horse Care > Fly & Insect Control > Fly Sprays & Traps,001AERO,Size: 15 Ounces,,,,,Corro Trailer 1,17260,17260,17260,24990,0,0,
2,Treats / Toys,1778252144214,Eliot's Trailer,1,Horsemen's Pride Jolly Ball,Horse Care > Treats & Toys > Toys & Licks,410PK,Flavor: Bubble Gum,Size: 10-inch,,,,Corro Trailer 1,15720,15720,15720,22990,0,0,0.09744014
3,Hoof Care,1778252024407,Eliot's Trailer,1,Absorbine Magic Cushion,Horse Care > First Aid & Wellness > Poultices & Hoof Packing,13671-2,Size: 4 Pounds,,,,,Corro Trailer 1,38320,41700,45080,56190,0,0,0.09412552
5,Hoof Care,1778252024407,Eliot's Trailer,1,Absorbine Magic Cushion,Horse Care > First Aid & Wellness > Poultices & Hoof Packing,13671-3,Size: 8 Pounds,,,,,Corro Trailer 1,64930,69655,74380,96190,0,0,
6,Supplements,1778252144213,Eliot's Trailer,1,Mare Magic Calming Supplement,Horse Care > Supplements > Calming & Focus,12416-3,Size: 32 Ounces,,,Lot #1623833,2027-04-01,Corro Trailer 1,34150,34150,34150,49990,0,0,0.05905591
1,Hoof Care,1778252024407,Eliot's Trailer,1,Absorbine Magic Cushion Xtreme,Horse Care > First Aid & Wellness > Poultices & Hoof Packing,13670-2,Size: 4 Pounds,,,,,Corro Trailer 1,50070,50070,50070,67590,0,2,0.12853113
0,Treats / Toys,1778252144214,Eliot's Trailer,1,Mrs. Pastures Cookies for Horses,Horse Care > Treats & Toys > Treats,708852000352,Size: 32 Ounces,,,,,Corro Trailer 1,7300,7300,7300,14990,0,0,0.07351338
8,Supplements,1778252144213,Eliot's Trailer,1,Panacur Powerpac Equine Dewormer,Horse Care > Supplements > Wormer,001-069276,"Size: 57 Grams, 5-Pack",,,Lot# A535B01,2028-06-01,Corro Trailer 1,79500,80030,81090,95990,0,0,
4,Grooming,1778252024408,Eliot's Trailer,1,exhibitor's QUIC BRAID Total Mane & Tail Control,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,12028-2,Size: 64 Ounces,,,,,Corro Trailer 1,19090,19090,19090,29990,0,0,0.012712601
3,Grooming,1778252024408,Eliot's Trailer,1,exhibitor's QUIC BRAID Total Mane & Tail Control,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,321326,Size: 16 Ounces,,,,,Corro Trailer 1,8060,8060,8060,15340,0,4,0.04108005
27,Grooming,1778252024408,Eliot's Trailer,1,exhibitor's QUIC SILVER Whitening Intensifier & Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",321164,Size: 64 Ounces,,,,,Corro Trailer 1,23230,23230,23230,35990,0,0,0.050456528
6,Grooming,1778252024408,Eliot's Trailer,1,exhibitor's QUIC SILVER Whitening Intensifier & Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",12029-1,Size: 16 Ounces,,,,,Corro Trailer 1,7630,7630,7630,13990,0,0,0.036325898
4,Supplements,1778252144213,Eliot's Trailer,1,Horse Health Products Red Cell Vitamin-Iron-Mineral Supplement,Horse Care > Supplements > Performance & Energy,74110,Size: 1 Gallon,,,,,Corro Trailer 1,21840,21840,21840,34970,0,0,
2,Cycle Counts Grooming,1785512013430,Eliot's Trailer,1,Shapley's Show Touch Ups,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",STUGDS,Size: 10 Ounces,Color: Gray,,,,Corro Trailer 1,9940,9940,9940,12990,0,0,
2,Cycle Counts Grooming,1785512013430,Eliot's Trailer,1,Shapley's Show Touch Ups,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",13018-3,Size: 10 Ounces,Color: Dark Brown,,,,Corro Trailer 1,9940,9940,9940,12990,0,0,
2,Cycle Counts Grooming,1785512013430,Eliot's Trailer,1,Shapley's Show Touch Ups,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",STUSDS,Size: 10 Ounces,Color: Sorrel,,,,Corro Trailer 1,9940,9940,9940,12990,0,0,0.011579682
2,Cycle Counts Grooming,1785512013430,Eliot's Trailer,1,Shapley's Show Touch Ups,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",STU-C DS,Size: 10 Ounces,Color: Chestnut,,,,Corro Trailer 1,9940,9940,9940,12990,0,0,
2,Cycle Counts Grooming,1785512013430,Eliot's Trailer,1,Shapley's Show Touch Ups,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",STUPDS,Size: 10 Ounces,Color: Palomino,,,,Corro Trailer 1,9940,9940,9940,12990,0,0,0.01806603
5,Cycle Counts Grooming,1785512013430,Eliot's Trailer,1,Shapley's Show Touch Ups,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",13018-5,Size: 10 Ounces,Color: Medium Brown,,,,Corro Trailer 1,9940,9940,9940,12990,0,0,0.011579682
0,Grooming,1778252024408,Eliot's Trailer,1,Absorbine ShowSheen Hair Polish & Detangler,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",428940,Size: 1 Gallon,,,,,Corro Trailer 1,30160,30160,30160,43590,0,0,0.07378313
15,Cycle Counts Grooming,1785512013430,Eliot's Trailer,1,Absorbine ShowSheen Hair Polish & Detangler,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",428940,Size: 1 Gallon,,,,,Corro Trailer 1,30160,30160,30160,43590,0,0,0.07378313
5,Cycle Counts Grooming,1785512013430,Eliot's Trailer,1,Shapley's Show Touch Ups,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",13018-8,Size: 10 Ounces,Color: White,,,,Corro Trailer 1,9940,9940,9940,12990,0,0,0.01806603
12,Grooming,1778252024408,Eliot's Trailer,1,Absorbine ShowSheen Hair Polish & Detangler,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",11094-1,Size: 32-Ounce Spray,,,,,Corro Trailer 1,11940,11940,11940,17990,0,0,0.017362805
7,Cycle Counts Grooming,1785512013430,Eliot's Trailer,1,Shapley's Show Touch Ups,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",STU-BDS,Size: 10 Ounces,Color: Black,,,,Corro Trailer 1,9940,9940,9940,12990,0,0,
2,Hoof Care,1778252024407,Eliot's Trailer,1,Hawthorne Products Sole Pack Medicated Liquid Hoof Dressing,Horse Care > First Aid & Wellness > Poultices & Hoof Packing,1003,Size: 16 Ounces,,,,,Corro Trailer 1,8220,8220,8220,22990,0,0,0.064265564
2,Hoof Care,1778252024407,Eliot's Trailer,1,Hawthorne Products Sole Pack Medicated Hoof Packing Paste,Horse Care > First Aid & Wellness > Poultices & Hoof Packing,16824-2,Size: 8 Pounds,,,,,Corro Trailer 1,74770,74770,74770,94990,0,8,0.12652257
6,Fly Gear,1778252234584,Eliot's Trailer,1,Farnam SWAT Fly Repellent Ointment,Horse Care > Fly & Insect Control > Fly Sprays & Traps,100532426,Size: 7 Ounces,Color: Clear,,,,Corro Trailer 1,0,4920,9840,15490,0,0,0.023375543
2,Treats / Toys,1778252144214,Eliot's Trailer,1,Cavalor Sweeties Healthy Horse Snacks,Horse Care > Treats & Toys > Treats,82696304,Size: 750 Grams,,,Lot# LL297,2027-04-24,Corro Trailer 1,7290,7290,7290,10950,0,0,0.15811269
0,Grooming,1778252024408,Eliot's Trailer,1,Epona Tiger’s Tongue Horse Groomer,"Horse Care > Grooming & Bathing > Brushes & Tools > Grooming Gloves, Curry Combs & Deshedding Tools",TIGER-1010,Title: Default Title,,,,,Corro Trailer 1,3750,3750,3750,9950,0,0,0.12712601
46,Cycle Counts Grooming,1785512013430,Eliot's Trailer,1,Epona Tiger’s Tongue Horse Groomer,"Horse Care > Grooming & Bathing > Brushes & Tools > Grooming Gloves, Curry Combs & Deshedding Tools",TIGER-1010,Title: Default Title,,,,,Corro Trailer 1,3750,3750,3750,9950,0,0,0.12712601
2,Fly Gear,1778252234584,Eliot's Trailer,1,Absorbine UltraShield Green Natural Fly Repellent,Horse Care > Fly & Insect Control > Fly Sprays & Traps,429501,Size: 32 Ounces,,,,,Corro Trailer 1,15480,15480,15480,23590,0,0,
32,Supplements,1778252144213,Eliot's Trailer,1,Merial UlcerGard Oral Paste,Horse Care > Supplements > Digestive & Gut Health,126652,Size: 1 Syringe,,,Lot# AD017/25,2026-11-01,Corro Trailer 1,36650,37750,38850,42990,0,0,0.527868
4,First Aid,1778252086689,Eliot's Trailer,1,3M Vetrap Bandaging Tape,Horse Care > First Aid & Wellness > First Aid Supplies,1410BK,Size: 4-inch x 5 Yards,Color: Black,,,,Corro Trailer 1,2050,2160,2270,2890,0,0,0.13230708
10,First Aid,1778252086689,Eliot's Trailer,1,Absorbine Veterinary Liniment Gel,Horse Care > First Aid & Wellness > Liniments,11015-2,Size: 12 Ounces,,,,,Corro Trailer 1,11140,11140,11140,15450,0,0,0.045910724
20,First Aid,1778252086689,Eliot's Trailer,1,3M Vetrap Bandaging Tape,Horse Care > First Aid & Wellness > First Aid Supplies,1410B,Size: 4-inch x 5 Yards,Color: Blue,,,,Corro Trailer 1,2050,2160,2270,2890,0,0,0.014987774
5,First Aid,1778252086689,Eliot's Trailer,1,Farnam Vetrolin Liniment,Horse Care > First Aid & Wellness > Liniments,80193,Size: 1 Gallon,,,,,Corro Trailer 1,35590,35590,35590,44990,0,0,0.07381989
2,Grooming,1778252024408,Eliot's Trailer,1,Lucky Braids Whitener & Dry Wash Spray,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",2360,Size: 1 Gallon,,,,,Corro Trailer 1,52000,52000,52000,99950,0,0,0.02232903
5,First Aid,1778252086689,Eliot's Trailer,1,Farnam Vetrolin Liniment,Horse Care > First Aid & Wellness > Liniments,80192,Size: 32 Ounces,,,,,Corro Trailer 1,12730,12730,12730,15990,0,0,0.060263198
23,Fly Gear,1778252234584,Eliot's Trailer,1,Pyranha Wipe n' Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,001WIPEG,Size: 1 Gallon,,,,,Corro Trailer 1,40520,40520,40520,77950,0,0,0.047331154
8,Fly Gear,1778252234584,Eliot's Trailer,1,Pyranha Wipe n' Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,001WIPE,Size: 32 Ounces,,,,,Corro Trailer 1,13820,13820,13820,23990,0,0,0.013059528
0,Grooming,1778252024408,Eliot's Trailer,1,Lucky Braids Whitener & Dry Wash Spray,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",2362,Size: 1 Quart,,,,,Corro Trailer 1,25000,25000,25000,39950,0,0,0.04438248
3,Cycle Counts Grooming,1785512013430,Eliot's Trailer,1,Lucky Braids Whitener & Dry Wash Spray,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",2362,Size: 1 Quart,,,,,Corro Trailer 1,25000,25000,25000,39950,0,0,0.04438248
4,Fly Gear,1778252234584,Eliot's Trailer,1,Equicare Flysect Super-7 Repellent Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,100502018,Size: 1 Gallon,,,,,Corro Trailer 1,63220,63220,63220,78990,0,0,0.04889326
1,Fly Gear,1778252234584,Eliot's Trailer,1,Equicare Flysect Citronella Spray with Lanolin,Horse Care > Fly & Insect Control > Fly Sprays & Traps,11301,Size: 32 Ounces,,,,,Corro Trailer 1,15530,15530,15530,25990,0,0,0.08237701
8,Fly Gear,1778252234584,Eliot's Trailer,1,Equicare Flysect Super-7 Repellent Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,100502019,Size: 32 Ounce,,,,,Corro Trailer 1,20060,20060,20060,29950,0,0,0.07205827
2,Supplements,1778252144213,Eliot's Trailer,1,Ramard Total Calm & Focus Supplement,Horse Care > Supplements > Calming & Focus,RAM-04J,Size: 1.12LB (30 day supply),,,Lot #F242422,2027-03-01,Corro Trailer 1,42150,42150,42150,63480,0,0,
24,Supplements,1778252144213,Eliot's Trailer,1,Ramard Total Calm & Focus Show Safe Syringe,Horse Care > Supplements > Calming & Focus,RAM-04S,Size: 1 Ounce,,,,,Corro Trailer 1,8030,8030,8030,11990,0,0,0.4691985
3,Stable,1778252234586,Eliot's Trailer,1,Fortiflex Rubber Stall Feeder Reinforced Rubber Pan,Stable > Stable Supplies > Feed & Water Buckets,CR-80,Size: 8 Quarts,Color: Black,,,,Corro Trailer 1,5540,5540,5540,8990,0,0,0.06944207
2,Supplements,1778252144213,Eliot's Trailer,1,Ramard Total Calm & Focus Supplement,Horse Care > Supplements > Calming & Focus,RAM-04P,Size: 6.75LB (180 day supply),,,Lot# F253607,2028-04-01,Corro Trailer 1,259970,259970,259970,315990,0,0,
2,First Aid,1778252086689,Eliot's Trailer,1,Sore No-More Performance Liniment,Horse Care > First Aid & Wellness > Liniments,14900-2,Size: 16 Ounces,,,,,Corro Trailer 1,15230,15885,16540,28130,0,0,0.05163955
1,Fly Gear,1778252234584,Eliot's Trailer,1,E3 All Natural Fly Repellent Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,30128,Size: Gallon,,,,,Corro Trailer 1,25890,25890,25890,34990,0,0,0.12558872
4,Fly Gear,1778252234584,Eliot's Trailer,1,E3 All Natural Fly Repellent Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,30032,Size: 32 Ounces,,,,,Corro Trailer 1,10400,10400,10400,17000,0,0,0.038156103
4,Grooming,1778252024408,Eliot's Trailer,1,E3 Antibacterial & Antifungal Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",17230-2,Size: 1 Gallon,,,,,Corro Trailer 1,31820,31820,31820,47780,0,0,0.09359683
8,Grooming,1778252024408,Eliot's Trailer,1,E3 Argan Oil Conditioner,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Conditioners",17235-1,Size: 32 Ounces,,,,,Corro Trailer 1,9620,9620,9620,17980,0,0,0.022337839
4,Grooming,1778252024408,Eliot's Trailer,1,E3 Argan Oil Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",17231-3,Size: 1 Gallon,,,,,Corro Trailer 1,28670,28670,28670,49950,0,12,0.1144134
1,Grooming,1778252024408,Eliot's Trailer,1,E3 Antibacterial & Antifungal Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",17230-1,Size: 32 Ounces,,,,,Corro Trailer 1,0,6950,13900,25170,0,12,0.054043703
11,Grooming,1778252024408,Eliot's Trailer,1,E3 Argan Oil Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",120032,Size: 32 Ounces,,,,,Corro Trailer 1,12040,12040,12040,21290,0,0,0.051076535
1,Grooming,1778252024408,Eliot's Trailer,1,Lucky Braids Horse Braiding Yarn,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,2440,Color: Charcoal/Salt & Pepper,,,,,Corro Trailer 1,5750,5750,5750,17950,0,0,
13,Treats / Toys,1778252144214,Eliot's Trailer,1,German Horse Minty Muffins,Horse Care > Treats & Toys > Treats,15497-1,Size: 1 Pound,,,,,Corro Trailer 1,7530,7530,7530,10990,0,0,0.23336922
2,Grooming,1778252024408,Eliot's Trailer,1,Lucky Braids Horse Braiding Yarn,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,2420,Color: Chestnut/Sorrel,,,,,Corro Trailer 1,5750,5750,5750,17950,0,0,
1,Grooming,1778252024408,Eliot's Trailer,1,Lucky Braids Horse Braiding Yarn,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,2422,Color: Liver Chestnut,,,,,Corro Trailer 1,5750,5750,5750,17950,0,0,
2,Grooming,1778252024408,Eliot's Trailer,1,Lucky Braids Horse Braiding Yarn,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,2430,Color: Light Grey/Flaxen,,,,,Corro Trailer 1,5750,5750,5750,17950,0,0,0.021051686
28,Treats / Toys,1778252144214,Eliot's Trailer,1,German Horse Muffins,Horse Care > Treats & Toys > Treats,011-1001001,Size: 1 Pound,,,,,Corro Trailer 1,5120,5120,5120,9990,0,0,0.16163187
2,Grooming,1778252024408,Eliot's Trailer,1,Lucky Braids Horse Braiding Yarn,Horse Care > Grooming & Bathing > Brushes & Tools > Braiding,2410,Color: Black,,,,,Corro Trailer 1,5750,5750,5750,17950,0,0,
1,Tack,1778180207021,Eliot's Trailer,1,EquiFit Belly Band,Tack & Equipment > Girths & Cinches > English Girths > Hunter/Jumper Girths,02018O,Size: Oversized,,,,,Corro Trailer 1,81180,81180,81180,164000,0,0,
1,Horse Wear,1778252234587,Eliot's Trailer,1,EquiFit Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,02016O,Size: Oversized,Color: Black,,,,Corro Trailer 1,54970,54970,54970,108000,0,0,0.01659058
2,Boots/Wraps,1778252009218,Eliot's Trailer,1,EquiFit Essential Everyday Front Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,11277FMB,Size: Medium,Color: Black,,,,Corro Trailer 1,57490,57490,57490,116000,0,0,
1,Horse Wear,1778252234587,Eliot's Trailer,1,EquiFit Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,02016H,Size: Horse,Color: Black,,,,Corro Trailer 1,54970,54970,54970,108000,0,0,
2,Tack,1778180207021,Eliot's Trailer,1,EquiFit D-Teq Hind Boots with ImpacTeq Liners,Tack & Equipment > Boots & Wraps > Protective Boots > Hind Boots,01602HLB,Size: Large,Color: Black with Black Binding,,,,Corro Trailer 1,156450,156450,156450,302000,0,0,
2,Boots/Wraps,1778252009218,Eliot's Trailer,1,EquiFit Essential Everyday Front Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,11277FXLB,Size: Extra Large,Color: Black,,,,Corro Trailer 1,57490,57490,57490,116000,0,0,
2,Tack,1778180207021,Eliot's Trailer,1,EquiFit D-Teq Hind Boots with ImpacTeq Liners,Tack & Equipment > Boots & Wraps > Protective Boots > Hind Boots,01604-LGBLKOST,Size: Large,Color: Black Ostrich with Black Binding,,,,Corro Trailer 1,156450,156450,156450,302000,0,0,
1,Boots/Wraps,1778252009218,Eliot's Trailer,1,EquiFit D-Teq Front Boot with ImpacTeq Liner,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,01601FXLB,Size: Extra Large,Color: Black with Black Binding,,,,Corro Trailer 1,162750,162750,162750,314000,0,0,
1,Tack,1778180207021,Eliot's Trailer,1,EquiFit D-Teq Hind Boots with ImpacTeq Liners,Tack & Equipment > Boots & Wraps > Protective Boots > Hind Boots,01608-LGBN,Size: Large,Color: Black Ostrich with Brown Binding,,,,Corro Trailer 1,156450,156450,156450,302000,0,0,
1,Tack,1778180207021,Eliot's Trailer,1,EquiFit Belly Band,Tack & Equipment > Girths & Cinches > English Girths > Hunter/Jumper Girths,02018C,Size: Cob,,,,,Corro Trailer 1,81180,81180,81180,164000,0,0,
1,Boots/Wraps,1778252009218,Eliot's Trailer,1,EquiFit D-Teq Front Boot with ImpacTeq Liner,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,01603-Large,Size: Large,Color: Black Ostrich with Black Binding,,,,Corro Trailer 1,162750,162750,162750,314000,0,0,0.01231158
2,Boots/Wraps,1778252009218,Eliot's Trailer,1,EquiFit Essential Everyday Hind Boot,Tack & Equipment > Boots & Wraps > Protective Boots > Hind Boots,11278HXLB,Size: Extra Large,Color: Black,,,,Corro Trailer 1,51220,51220,51220,103000,0,0,
1,Boots/Wraps,1778252009218,Eliot's Trailer,1,EquiFit Essential Everyday Hind Boot,Tack & Equipment > Boots & Wraps > Protective Boots > Hind Boots,11278HMB,Size: Medium,Color: Black,,,,Corro Trailer 1,51220,51220,51220,103000,0,0,
3,Treats / Toys,1778252144214,Eliot's Trailer,1,Likit Holder,Horse Care > Treats & Toys > Toys & Licks,LH01US10,Color: Red,,,,,Corro Trailer 1,11430,11430,11430,21990,0,0,0.22303827
4,Grooming,1778252024408,Eliot's Trailer,1,Tough-1 Great Grip Finishing Brush,Horse Care > Grooming & Bathing > Brushes & Tools > Brushes & Combs,68-905-4-0,Color: Royal Blue,,,,,Corro Trailer 1,4190,4190,4190,7990,0,0,
